scheme_name,scheme_link,state,category,description
Mukhyamantri Mahila Utkarsh Yojana,https://www.myscheme.gov.in/schemes/mmuy,Gujarat,"Social welfare & Empowerment, Women and Child",Mukhyamantri Mahila Utkarsh Yojana is a scheme launched by the Government of Gujarat to empower women in the state. The scheme aims to provide financial assistance to women entrepreneurs and to promote their entrepreneurial spirit.
Subsidy Scheme On Establishment Of - 25 Kadaknath/R.I.R. Birds Unit To Scheduled Tribes,https://www.myscheme.gov.in/schemes/sse25krbust,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship","The scheme “Subsidy Scheme on Establishment of - 25 Kadaknath/R.I.R. Birds Unit to Scheduled Tribes” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Govt. of Gujarat to provide employment, nutritious diet and to raise the income of Scheduled Tribe People of Gujarat State."
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm,https://www.myscheme.gov.in/schemes/ssieemaf,Gujarat,"Agriculture,Rural & Environment","The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for the State Cattle Breeders” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat."
Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,https://www.myscheme.gov.in/schemes/ioaibfcpbic,Gujarat,"Agriculture,Rural & Environment","The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat."
Go-Green Three Wheelers Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/ggtwsgbocwwb,Gujarat,Social welfare & Empowerment,"Under the scheme, a one-time subsidy will be provided on the purchase of battery-operated tricycle (e-rickshaw) vehicles to registered construction disabled workers. Also, assistance will be available for the amount of Registration Fee and Road Tax paid for the first time of the new Three-Wheeler."
Tablet Assistance to Scheduled Caste Students of 12th Standard,https://www.myscheme.gov.in/schemes/tascs12s,Gujarat,"Social welfare & Empowerment, Education & Learning","Under the scheme, students in the 12th standard belonging to the Scheduled Caste category will receive a tablet by paying a token fee of ₹1,000/-."
Scholarship/Stipend to SC Students for ITI/Professional Courses (Swami Vivekanand Scholarship),https://www.myscheme.gov.in/schemes/ssscsitipcsvs,Gujarat,Education & Learning,"Under the scheme, a monthly stipend/scholarship will be given to Scheduled Caste Category students who are studying professional courses in Government or Private Industrial Training Institute (ITI)."
Maternity Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/masglwb,Gujarat,"Social welfare & Empowerment, Women and Child","The scheme provides financial assistance to female workers and the wives of workers to cover expenses incurred for health check-ups, medicine, nutritious diet, etc., during the maternity period."
Full Medical Checkup Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/sfmcas-glwb,Gujarat,Health & Wellness,The objective of the scheme is to conduct health check-ups for male Shramyogis above 45 years of age and female Shram Yogis above 35 years of age who are working in the organized sector in the state of Gujarat.
Financial Assistance Scheme for Purchase of Agricultural Land to Scheduled Caste Farmers,https://www.myscheme.gov.in/schemes/faspalscf,Gujarat,"Banking,Financial Services and Insurance, Social welfare & Empowerment","The scheme was launched on in the year 1986. Under the scheme, financial assistance is provided to farmers belonging to the scheduled castes to purchase agricultural land, with a maximum limit of 2 acres, for self-cultivation."
Loan Assistance to Scheduled Castes Students for Commercial Pilot Training,https://www.myscheme.gov.in/schemes/lascscpt,Gujarat,"Banking,Financial Services and Insurance",The scheme was commenced in the year 1987 with the objective to provide financial assistance to bright Scheduled Castes Students who want to undergo training for commercial pilot license.
Scheme for Small Business Owners of Scheduled Castes to Buy a Place of Business/Shop,https://www.myscheme.gov.in/schemes/ssboscbpbs,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship","Under the scheme, financial assistance in the form of loans and subsidies is provided by banks to individuals belonging to the Scheduled Castes category. This assistance is aimed at enabling them to purchase business premises or shops in urban areas for business development."
Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SC Category),https://www.myscheme.gov.in/schemes/csssscspscc,Gujarat,"Agriculture,Rural & Environment","The scheme “Cattle Shed Subsidy Scheme under Scheduled Castes Sub Plan (SCSP)” is implemented by the Directorate of Animal Husbandry, Government of Gujarat. Under this scheme, the financial assistance is given to Scheduled Caste beneficiaries for construction of Cattle Shed for 2 animals."
Sant Surdas Scheme,https://www.myscheme.gov.in/schemes/sss-gujarat,Gujarat,Social welfare & Empowerment,"Under the scheme, monthly financial assistance is provided to Persons with Disabilities aged between 0 and 17 years, who have a disability of more than 80% and are registered in the Below Poverty Line (BPL) list."
Assistance for Power Driven Chaff Cutter Scheme under Integrated Fodder Development Scheme (General Category),https://www.myscheme.gov.in/schemes/apdccsifdsgc,Gujarat,"Agriculture,Rural & Environment","The scheme provides financial assistance to dairy farmers belonging to General Caste category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming."
Poshan Sudha,https://www.myscheme.gov.in/schemes/psgg,Gujarat,"Health & Wellness, Women and Child",This scheme is a government initiative to provide nutrition and healthcare support to pregnant and lactating mothers in tribal districts of Gujarat.
Ganga Swarupa Punah Lagna Arthik Sahay Scheme,https://www.myscheme.gov.in/schemes/gsrfas,Gujarat,"Social welfare & Empowerment, Women and Child","The scheme supports remarried women who are beneficiaries of the Ganga Swarupa Pension Scheme, aiming to reintegrate them into society with financial support."
Kisan Parivahan Yojana,https://www.myscheme.gov.in/schemes/kpyg,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing medium-sized goods vehicles to facilitate the transportation of agricultural produce."
Scheme to Provide Financial Assistance to Farmers for Purchasing Sanedo Agricultural Equipment,https://www.myscheme.gov.in/schemes/spfasae,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing Sanedo (Mini Tractor) equipment, which enhances efficiency and reduces labor dependency in farming operations."
Scheme for Assistance on Purchase of Smartphone by the Farmers,https://www.myscheme.gov.in/schemes/sapsf,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to provide financial assistance to farmers for purchasing smartphones, enabling them to access agricultural technology, weather updates, pest control techniques, and government assistance."
Diesel VAT Relief Scheme for Fishermen,https://www.myscheme.gov.in/schemes/dvrsf,Gujarat,"Agriculture,Rural & Environment","The ""Diesel VAT Relief Scheme for Fishermen"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial assistance by subsidizing the VAT levied on high-speed diesel used in fishing boats."
Establishment of 1 to 20 Milch Animal Farm,https://www.myscheme.gov.in/schemes/eotmaf,Gujarat,"Agriculture,Rural & Environment","The ""Establishment of 1 to 20 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance in the form of an interest subsidy to livestock farmers to take up animal husbandry as a sustainable business."
Intensive Castration Scheme,https://www.myscheme.gov.in/schemes/ics,Gujarat,"Agriculture,Rural & Environment","The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas."
Assistance of Concentrate Feed After Parturition (Scheduled Caste Category),https://www.myscheme.gov.in/schemes/acfapsc,Gujarat,"Agriculture,Rural & Environment","The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Caste Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Caste Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development."
Assistance of Concentrate Feed for Pregnant Animals (General Category),https://www.myscheme.gov.in/schemes/acfpagc,Gujarat,"Agriculture,Rural & Environment","This scheme provides free BIS type II concentrate feed to pregnant cattle owned by General Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production."
Scheme for Upgradation of Gaushala/ Panjrapole,https://www.myscheme.gov.in/schemes/sfugp,Gujarat,"Agriculture,Rural & Environment","The ""Scheme for Upgradation of Gaushala/ Panjrapole""  aims to promote indigenous cow breeds and make cow rearing economically viable."
